id_pedido,fecha,id_cliente,edad_cliente,categoria_producto,canal_venta,region,metodo_pago,precio_unitario,cantidad,descuento_pct,dias_entrega,rating,devuelto,monto_total
PED-12701,2024-07-27,1628,33.0,Electrónica,Web,Córdoba,Tarjeta de crédito,285647.94,3,0,6.0,,0,856943.82
PED-12128,2024-06-09,1508,46.0,Juguetes,web, CABA , Tarjeta de crédito ,24164.27,1,15,8.0,5.0,0,20539.63
PED-10050,04/02/2024,2491,46.0,Belleza,App, GBA ,MercadoPago,18852.6,1,0,6.0,4.0,1,18852.6
PED-11758,2024-07-24,1883,67.0,Belleza,Web, Santa Fe ,Efectivo,28391.75,3,0,7.0,5.0,0,85175.25
PED-12142,2025-05-28,2585,28.0, Electrónica ,Marketplace,CABA,Transferencia,229375.37,1,0,2.0,3.0,0,229375.37
PED-12593,2025-05-08,1464,44.0,Hogar,Marketplace,Córdoba,Tarjeta de crédito,41443.66,1,0,9.0,5.0,0,41443.66
PED-13208,2025-02-17,2482,54.0,electrónica,Web,santa fe,TARJETA DE DÉBITO,182820.39,1,0,3.0,,0,182820.39
PED-14012,2025-02-22,1861,, Electrónica ,Web,Córdoba,Transferencia,88556.72,1,10,7.0,5.0,0,79701.05
PED-13777,2025-05-01,1123,26.0,Juguetes,app,Otras,Tarjeta de débito,15107.24,1,0,5.0,4.0,0,15107.24
PED-13277,2024-07-05,1435,53.0,DEPORTES,Web,CABA,MercadoPago,37405.7,1,5,8.0,,0,35535.41
PED-10614,07/10/2024,1314,30.0,Belleza,App,santa fe,Tarjeta de crédito,13471.48,1,0,10.0,4.0,0,13471.48
PED-10166,2024-10-20,1349,38.0,juguetes,App,Mendoza,EFECTIVO,11429.11,1,20,2.0,,0,9143.29
PED-10751,2025-04-03,2173,23.0,Deportes,Web,GBA,Tarjeta de débito,51498.09,1,0,6.0,3.0,1,51498.09
PED-13452,2024-09-12,1236,44.0,Belleza,App,Otras,Tarjeta de crédito,13799.84,1,0,,,0,13799.84
PED-14666,2025-02-22,2366,44.0,Belleza,App, CABA ,Tarjeta de crédito,11658.81,1,0,2.0,5.0,0,11658.81
PED-13521,2025-06-23,1164,26.0,Indumentaria,App,Santa Fe,Tarjeta de crédito,22916.43,1,0,1.0,5.0,1,22916.43
PED-12728,2024-10-19,2047,25.0,belleza,App,Santa Fe,Tarjeta de crédito,10614.57,3,0,5.0,,0,31843.71
PED-13142,2024-03-24,1769,27.0,Indumentaria,App,CABA,Efectivo,26221.83,1,5,1.0,4.0,1,24910.74
PED-12319,02/03/2024,1565,49.0,Juguetes,web,gba,Transferencia,17422.26,1,5,4.0,5.0,0,16551.15
PED-12588,2024-12-02,2103,48.0,Indumentaria,Marketplace,mendoza,Efectivo,24579.96,1,0,6.0,4.0,0,24579.96
